Spider,Period,Amplitude,p value
s1,21.833146685430563,95.50000039353539,1.0851105957750834e-36
s2,21.701521942570064,3393.873060214955,0.0
s3,21.48563905008046,943.9616878221797,0.0
s4,22.42246898250399,285.7288429981422,4.5510557062818037e-119
s5,20.623952667596587,8.212159429779808,0.9999999999936522
s6,22.011150299239663,2948.14924919554,0.0
s7,20.012445155019396,1267.1471966623421,0.0
s8,21.701521942570064,227.89518423830742,5.3191427366778e-94
s9,18.56731085283731,42.23654469596159,9.78007263454309e-14
s10,17.62776555311062,152.94802382537068,1.5430656325662817e-61
s11,21.96637784048419,3993.824691914338,0.0
s12,22.011150299239663,766.5947811967259,0.0
s13,15.28279373712288,14.979062774736823,0.03929521103006349
s14,20.313597846031847,1611.5239853914595,0.0
s15,19.02526015803791,1682.6781065030852,0.0
s16,21.833146685430563,1371.857338905633,0.0
s17,23.80650320405451,1696.1695452189185,0.0
s18,20.66341509168503,135.7781519450208,4.162057615728695e-54
s19,22.84945288596173,864.9537455381454,0.0
s20,22.995417680030894,169.011817372322,1.7125925563755397e-68
s21,20.428880089763442,31766.400041895726,0.0
s22,21.789094721433727,56.37619169399624,8.17099262564411e-20
s23,22.563012730568726,1877.1194320638954,0.0
s24,22.42246898250399,1305.4180345736952,0.0
s25,15.11170712634532,0.2939950789502117,1.0
s27,23.80650320405451,474.8578437738146,4.27302407438821e-201
s29,23.546959672506116,432.3951287027959,1.1264626558209606e-182
s30,21.789094721433727,990.2234227082681,0.0
s31,21.44297686370317,1249.1503829676653,0.0
s32,22.42246898250399,66.16895977476666,4.944345723211034e-24
