Date,Time,lights,s2
10-Jun-17,12:25:00,1,3
10-Jun-17,12:26:00,1,3
10-Jun-17,12:27:00,1,1
10-Jun-17,12:28:00,1,5
10-Jun-17,12:29:00,1,0
10-Jun-17,12:30:00,1,13
10-Jun-17,12:31:00,1,10
10-Jun-17,12:32:00,1,42
10-Jun-17,12:33:00,1,6
10-Jun-17,12:34:00,1,26
10-Jun-17,12:35:00,1,19
10-Jun-17,12:36:00,1,10
10-Jun-17,12:37:00,1,0
10-Jun-17,12:38:00,1,0
10-Jun-17,12:39:00,1,0
10-Jun-17,12:40:00,1,0
10-Jun-17,12:41:00,1,0
10-Jun-17,12:42:00,1,0
10-Jun-17,12:43:00,1,0
10-Jun-17,12:44:00,1,0
10-Jun-17,12:45:00,1,1
10-Jun-17,12:46:00,1,0
10-Jun-17,12:47:00,1,0
10-Jun-17,12:48:00,1,0
10-Jun-17,12:49:00,1,0
10-Jun-17,12:50:00,1,0
10-Jun-17,12:51:00,1,0
10-Jun-17,12:52:00,1,0
10-Jun-17,12:53:00,1,1
10-Jun-17,12:54:00,1,4
10-Jun-17,12:55:00,1,0
10-Jun-17,12:56:00,1,0
10-Jun-17,12:57:00,1,0
10-Jun-17,12:58:00,1,0
10-Jun-17,12:59:00,1,0
10-Jun-17,13:00:00,1,0
10-Jun-17,13:01:00,1,0
10-Jun-17,13:02:00,1,0
10-Jun-17,13:03:00,1,0
10-Jun-17,13:04:00,1,0
10-Jun-17,13:05:00,1,0
10-Jun-17,13:06:00,1,0
10-Jun-17,13:07:00,1,0
10-Jun-17,13:08:00,1,0
10-Jun-17,13:09:00,1,0
10-Jun-17,13:10:00,1,0
10-Jun-17,13:11:00,1,0
10-Jun-17,13:12:00,1,0
10-Jun-17,13:13:00,1,0
10-Jun-17,13:14:00,1,2
10-Jun-17,13:15:00,1,0
10-Jun-17,13:16:00,1,0
10-Jun-17,13:17:00,1,0
10-Jun-17,13:18:00,1,0
10-Jun-17,13:19:00,1,0
10-Jun-17,13:20:00,1,0
10-Jun-17,13:21:00,1,0
10-Jun-17,13:22:00,1,0
10-Jun-17,13:23:00,1,0
10-Jun-17,13:24:00,1,0
10-Jun-17,13:25:00,1,0
10-Jun-17,13:26:00,1,0
10-Jun-17,13:27:00,1,0
10-Jun-17,13:28:00,1,0
10-Jun-17,13:29:00,1,0
10-Jun-17,13:30:00,1,0
10-Jun-17,13:31:00,1,4
10-Jun-17,13:32:00,1,0
10-Jun-17,13:33:00,1,2
10-Jun-17,13:34:00,1,0
10-Jun-17,13:35:00,1,0
10-Jun-17,13:36:00,1,0
10-Jun-17,13:37:00,1,0
10-Jun-17,13:38:00,1,0
10-Jun-17,13:39:00,1,0
10-Jun-17,13:40:00,1,0
10-Jun-17,13:41:00,1,0
10-Jun-17,13:42:00,1,0
