Index,Day,Time,Light,Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32
1,1,2024-01-18 13:17:00,1,2,2,15,9,12,10,17,3,11,6,7,13,14,6,5,8,5,10,11,1,5,4,6,6,4,0,0,0,0,0,0,0
2,1,2024-01-18 13:18:00,1,0,0,0,0,1,0,1,0,1,0,0,4,3,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,1,2024-01-18 13:19:00,1,0,0,0,0,1,0,2,0,4,0,0,0,2,0,6,0,2,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0
4,1,2024-01-18 13:20:00,1,0,0,0,4,3,0,1,0,0,0,0,4,3,0,4,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0
5,1,2024-01-18 13:21:00,1,0,0,0,3,3,0,0,0,0,0,0,3,5,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
6,1,2024-01-18 13:22:00,1,0,0,4,1,8,0,0,0,0,0,0,5,5,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,1,2024-01-18 13:23:00,1,0,0,6,1,1,0,0,0,0,0,0,4,5,0,6,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
8,1,2024-01-18 13:24:00,1,0,0,1,0,1,0,2,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,2024-01-18 13:25:00,1,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
10,1,2024-01-18 13:26:00,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
11,1,2024-01-18 13:27:00,1,0,0,0,0,0,0,3,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
12,1,2024-01-18 13:28:00,1,0,0,0,0,0,0,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,2024-01-18 13:29:00,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,2024-01-18 13:30:00,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,2024-01-18 13:31:00,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
16,1,2024-01-18 13:32:00,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
17,1,2024-01-18 13:33:00,1,0,0,0,0,3,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,0,0
18,1,2024-01-18 13:34:00,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
19,1,2024-01-18 13:35:00,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,36,0,0,0,0,0,0,0
20,1,2024-01-18 13:36:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0
21,1,2024-01-18 13:37:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,2024-01-18 13:38:00,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,2024-01-18 13:39:00,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,2024-01-18 13:40:00,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,2024-01-18 13:41:00,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,2024-01-18 13:42:00,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,2024-01-18 13:43:00,1,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
28,1,2024-01-18 13:44:00,1,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,2024-01-18 13:45:00,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
30,1,2024-01-18 13:46:00,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
31,1,2024-01-18 13:47:00,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
32,1,2024-01-18 13:48:00,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
33,1,2024-01-18 13:49:00,1,0,0,0,0,0,0,2,0,0,0,0,5,4,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0
34,1,2024-01-18 13:50:00,1,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
35,1,2024-01-18 13:51:00,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0
36,1,2024-01-18 13:52:00,1,0,0,0,0,0,0,3,0,0,0,0,0,5,0,5,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
37,1,2024-01-18 13:53:00,1,0,0,0,0,0,0,4,0,0,0,2,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,2024-01-18 13:54:00,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,6,0,2,0,0,0,0,0,0,0,0,0
39,1,2024-01-18 13:55:00,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,1,0,5,0,7,0,0,0,0,0,0,0
40,1,2024-01-18 13:56:00,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,0,2,0,3,0,2,0,0,0,0,0,0,0
41,1,2024-01-18 13:57:00,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,4,0,0,0,0,0,0,0
42,1,2024-01-18 13:58:00,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,0,4,0,0,0,0,0,0,0
43,1,2024-01-18 13:59:00,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
44,1,2024-01-18 14:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
45,1,2024-01-18 14:01:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
46,1,2024-01-18 14:02:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
47,1,2024-01-18 14:03:00,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
48,1,2024-01-18 14:04:00,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
49,1,2024-01-18 14:05:00,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
50,1,2024-01-18 14:06:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,2024-01-18 14:07:00,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,2024-01-18 14:08:00,1,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,2024-01-18 14:09:00,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,2024-01-18 14:10:00,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,2024-01-18 14:11:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
56,1,2024-01-18 14:12:00,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
57,1,2024-01-18 14:13:00,1,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
58,1,2024-01-18 14:14:00,1,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,2024-01-18 14:15:00,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0
60,1,2024-01-18 14:16:00,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
61,1,2024-01-18 14:17:00,1,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
62,1,2024-01-18 14:18:00,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
63,1,2024-01-18 14:19:00,1,0,0,0,0,2,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,2024-01-18 14:20:00,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,1,2024-01-18 14:21:00,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
66,1,2024-01-18 14:22:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,2024-01-18 14:23:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,2024-01-18 14:24:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1,2024-01-18 14:25:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
70,1,2024-01-18 14:26:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,1,2024-01-18 14:27:00,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
72,1,2024-01-18 14:28:00,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73,1,2024-01-18 14:29:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1,2024-01-18 14:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
75,1,2024-01-18 14:31:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
76,1,2024-01-18 14:32:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
77,1,2024-01-18 14:33:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,2024-01-18 14:34:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1,2024-01-18 14:35:00,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,2024-01-18 14:36:00,1,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
