"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN632_c0_g3",162.236560182918,10.9220872425929,1.16144404438311,9.12836678948587,6.95404203798434e-20,2.74783442445268e-15
"TRINITY_DN80559_c0_g1",1593.37040895491,-27.8317138697415,3.02620703423677,-9.09115389611145,9.79934533166678e-20,2.74783442445268e-15
"TRINITY_DN7216_c0_g3",743.04787077928,27.6546497991569,3.02623857497373,9.03254952375796,1.67717879853962e-19,3.13531804598997e-15
"TRINITY_DN291_c6_g1",28.387171134022,23.2036214826597,2.5810960720604,8.86585421223491,7.59197578596447e-19,1.06443296507115e-14
"TRINITY_DN91484_c0_g1",414.493914015969,26.8574608643871,3.02627770429413,8.76901046679617,1.80243287686736e-18,2.02168081200951e-14
"TRINITY_DN340_c0_g3",23.7616919644874,22.9626067847531,2.59756648698712,8.71685360054671,2.86039620063293e-18,2.6736123287316e-14
"TRINITY_DN121364_c0_g1",24.1891462103511,22.9861420619145,2.62529358460612,8.63375517116313,5.93700024576514e-18,4.16198559728751e-14
"TRINITY_DN6268_c1_g1",23.7605003135035,22.9554210464207,2.61780975003472,8.64670209365692,5.30091194858694e-18,4.16198559728751e-14
"TRINITY_DN44673_c0_g1",150.559642665243,25.4757500500956,3.02643284213893,8.31201330485059,9.40918731223361e-17,5.86317825382984e-13
"TRINITY_DN21265_c0_g1",26.6006540252958,-22.1203210788079,2.62982588471462,-8.28964427094516,1.13587664770861e-16,6.37022341567941e-13
"TRINITY_DN12591_c0_g3",155.943022776687,25.358272101215,3.0264244154376,8.27321904141943,1.30389834342053e-16,6.64774789961002e-13
"TRINITY_DN85770_c0_g1",260.871394333397,-25.2993975430665,3.02631094875908,-8.25407499956642,1.53083204884758e-16,7.15434358028917e-13
"TRINITY_DN1857_c1_g1",114.220421394199,25.0954553312703,3.02651034947407,8.18614591408077,2.69724683882128e-16,1.1635922862675e-12
"TRINITY_DN54638_c3_g1",176.176222320921,-24.7525248217714,3.02637067714117,-8.07320960592024,6.84739097742854e-16,2.74296700568677e-12
"TRINITY_DN52729_c0_g1",140.62158559262,-24.4426086446538,3.02641718722843,-7.97068188300408,1.57801232102952e-15,5.89987246586516e-12
"TRINITY_DN25380_c0_g1",36.3892392066716,23.537271840606,3.02719695112382,7.66956105448864,1.72585937778717e-14,6.04935285156624e-11
"TRINITY_DN65174_c0_g1",42.7857079837815,23.4936385265103,3.02704635674465,7.65552812723744,1.92519404688357e-14,6.35110191396027e-11
"TRINITY_DN142870_c0_g1",32.0094033120391,23.3659045829003,3.02733485050495,7.61260505393261,2.68625689422545e-14,7.53253295709758e-11
"TRINITY_DN36581_c0_g1",27.7878689205779,-20.5391691468223,2.65165632439801,-7.62510924239498,2.43827813098503e-14,7.53253295709758e-11
"TRINITY_DN41507_c3_g1",32.2504285585793,23.3741036655357,3.02732654018334,7.61533430884517,2.63009833395143e-14,7.53253295709758e-11
"TRINITY_DN12243_c1_g1",62.7320522219899,-23.3154190116808,3.02670350410139,-7.59751293131964,3.01876062548734e-14,8.0618158761229e-11
"TRINITY_DN88966_c0_g1",32.5357684447643,23.2985974618223,3.02731647007375,7.59041801178537,3.18875102818293e-14,8.1287061437525e-11
"TRINITY_DN5911_c0_g1",68.0464402377239,-23.0765708856436,3.02666305872327,-7.51869978392737,5.53236576501323e-14,1.34898320362379e-10
"TRINITY_DN8539_c0_g2",46.1785995060904,23.0593588322375,3.02698314643805,7.51221851333915,5.8133645987621e-14,1.35843797261573e-10
"TRINITY_DN10453_c0_g1",45.1324527810851,-22.853136194034,3.02690482193348,-7.44428302824554,9.74723278922808e-14,2.18657723714196e-10
"TRINITY_DN65574_c0_g1",31.5862708133545,-22.3589644456406,3.02721295332251,-7.28028215572076,3.33122704614423e-13,7.1854567385331e-10
"TRINITY_DN12824_c1_g1",55.145200576188,-21.6059297190573,3.02677452952917,-7.03254554027466,2.0279908180451e-12,4.2123622613928e-09
"TRINITY_DN35578_c0_g1",1115.33490507555,-13.4840339275419,1.9379258466183,-6.79284707952746,1.09941901384113e-11,2.20205775479421e-08
"TRINITY_DN162400_c0_g1",197.236101981315,11.2040318033411,1.67970533633406,6.47972687108047,9.18888036577126e-11,1.7770027195627e-07
"TRINITY_DN11560_c0_g1",23.1906389066433,-7.89824365987873,1.21125184970461,-6.25653835882837,3.9361632509676e-10,7.35826358135884e-07
"TRINITY_DN10441_c0_g2",18.678457697263,7.80109967591962,1.21296823182625,6.16759736951731,6.93354181751743e-10,1.25434481358069e-06
"TRINITY_DN400_c0_g1",37.9537171517743,-8.60684897985264,1.38198974063642,-5.9963172925122,2.01842466649853e-09,3.53741537958033e-06
"TRINITY_DN58736_c0_g1",6259.50500306947,16.1919909240354,2.66816010544844,5.9486651088233,2.7033810515101e-09,4.59427321608454e-06
"TRINITY_DN95700_c0_g1",35.9914891706947,-7.36742545602174,1.18900646831861,-5.92715485054309,3.08228295317233e-09,5.08413507587678e-06
"TRINITY_DN49310_c0_g1",683.217644407113,9.04167224642005,1.48149564294887,5.88707249186358,3.93096322954471e-09,6.29875085255218e-06
"TRINITY_DN28857_c0_g1",13.3469192534723,-7.09431957197179,1.18396031111609,-5.72174549127059,1.05435170748181e-08,1.64250423497207e-05
"TRINITY_DN41431_c1_g1",8971.20691037784,-8.82469081368595,1.49208823400197,-5.69985783674154,1.19907379573635e-08,1.81747180033746e-05
"TRINITY_DN18537_c0_g1",10.7558212037163,7.0087039007471,1.17906155615224,5.6729047485655,1.40396301671576e-08,2.0720277343014e-05
"TRINITY_DN23304_c0_g1",26.4371107514768,6.24711177041288,1.04934064903753,5.64841529378408,1.6193360685756e-08,2.32860526661172e-05
"TRINITY_DN7800_c0_g1",49.9016770029652,-6.79816320507309,1.18446821918132,-5.46925877804526,4.51921520094731e-08,6.33616567248817e-05
"TRINITY_DN12748_c0_g3",10.7050063976777,-6.77058006371874,1.24838946606921,-5.16712151058884,2.37726721682727e-07,0.000325175365985627
"TRINITY_DN1283_c0_g2",9.7630852754382,-6.64539776647399,1.23684292661995,-5.1141479894784,3.15160208153962e-07,0.000420828923659297
"TRINITY_DN39675_c4_g1",8.00954345037117,6.58035672493272,1.22761841387216,5.09959499970863,3.40381000267628e-07,0.000433846528568389
"TRINITY_DN89009_c0_g1",8.00954345037117,6.58035672493272,1.22761841387216,5.09959499970863,3.40381000267628e-07,0.000433846528568389
"TRINITY_DN735_c0_g5",43.972591663497,-8.81902927579953,1.68527526494461,-5.04311043577732,4.58024722531595e-07,0.000570820944200375
"TRINITY_DN7078_c0_g1",17.7639389207982,-6.9255795006563,1.31968196224262,-5.00543289189997,5.57366287890302e-07,0.000679526438205737
"TRINITY_DN11535_c0_g1",29.4162333796754,-7.0682980751832,1.35053004771636,-4.99677744052719,5.82962824468858e-07,0.000695611087699202
"TRINITY_DN19908_c0_g1",9.11723474988741,-6.54727115783783,1.25022251595244,-4.98093025711812,6.32793440605986e-07,0.000739340036168019
"TRINITY_DN16946_c0_g1",46.8614292920455,-8.91066472506906,1.73143835590567,-4.96157700086035,6.99231402711618e-07,0.000800291745446388
"TRINITY_DN2981_c0_g1",30.7370360343907,-5.2730688652727,1.00217733982054,-4.94230778173417,7.72032083815212e-07,0.000865942066490494
"TRINITY_DN17238_c0_g2",10.7916411127539,-6.78673154428407,1.31211783803172,-4.92846858479165,8.28766570777354e-07,0.000911350722006579
"TRINITY_DN3459_c0_g1",584.414308300008,1.80909526255228,0.303813172327387,4.90135187735588,9.51793996572642e-07,0.00101404152232456
"TRINITY_DN6177_c1_g1",9.55152642000052,6.83558377818817,1.32970808607644,4.90001064625671,9.58314622930739e-07,0.00101404152232456
"TRINITY_DN691_c0_g1",31.4902403012235,8.55669607484445,1.68547094420219,4.88688108399476,1.02445928172381e-06,0.00106395787847472
"TRINITY_DN10992_c0_g3",7.28911267648385,-6.21833630351478,1.21312778949072,-4.86208984297603,1.1615287856176e-06,0.00118437922463647
"TRINITY_DN7184_c0_g1",42.9396425705163,-4.02833022389373,0.763535688087046,-4.85678702613697,1.19305794808195e-06,0.00119480492579165
"TRINITY_DN7405_c0_g1",26.8022969195637,-5.45456619047769,1.06163188497701,-4.8364845321021,1.32155551535977e-06,0.00130027151600713
"TRINITY_DN16506_c0_g2",36.7432300857343,-8.5587678976705,1.70694184401513,-4.82662483584736,1.38866361448415e-06,0.00134274194530173
"TRINITY_DN29096_c0_g1",42.7500585886201,-8.77946509519455,1.76130525923728,-4.80295227123654,1.56343162505282e-06,0.00148610800671546
"TRINITY_DN130816_c0_g1",7.11642053182053,-6.18789633365424,1.23591955009082,-4.74779797214394,2.05643294397669e-06,0.00189063725187051
"TRINITY_DN7176_c0_g1",28.5595390138334,-5.99852313419725,1.19520318656791,-4.75109437291867,2.02318673677047e-06,0.00189063725187051
"TRINITY_DN11869_c0_g1",43.5606959937795,-5.63265811419561,1.1261139877308,-4.71769125690462,2.38536120172724e-06,0.00215767462766559
"TRINITY_DN5619_c0_g1",10.7661453919906,-6.78177944883989,1.37799474451368,-4.6892627671961,2.7419110877215e-06,0.00244082313685075
"TRINITY_DN127_c0_g2",218.406418626529,-5.72423080333246,1.16186046243652,-4.65135958925682,3.29753759340685e-06,0.00288957036427255
"TRINITY_DN24386_c0_g1",12.1935729497788,7.18451917243324,1.47822920185093,4.64374480211727,3.42150148196042e-06,0.00290734312289855
"TRINITY_DN6700_c0_g1",40.1983557920859,-6.14861336078396,1.25462861877403,-4.6456881929566,3.38944622882596e-06,0.00290734312289855
"TRINITY_DN119568_c0_g1",18.5645009510237,-6.98797036919289,1.43951581349748,-4.63209247628356,3.61988386316659e-06,0.00303000487782251
"TRINITY_DN96488_c0_g1",11.7655849180874,-6.32374758729613,1.29733051265372,-4.62777027807301,3.69623683478072e-06,0.00304841697306136
"TRINITY_DN21141_c0_g1",6.76806694457811,-6.11694727867956,1.25467536690237,-4.62027663218692,3.83228729972119e-06,0.00307289501012024
"TRINITY_DN41422_c0_g1",37.7142254811998,-8.59859911653363,1.79300722369958,-4.61715881961261,3.89029538387606e-06,0.00307289501012024
"TRINITY_DN4443_c0_g1",36.2554376431312,-8.53934488433085,1.77909824864933,-4.61994996092592,3.838326036983e-06,0.00307289501012024
"TRINITY_DN54444_c0_g1",8.45060672056666,6.070927919481,1.25198784579778,4.59343749924062,4.36003645388593e-06,0.00339610506120598
"TRINITY_DN6729_c0_g1",134.167608158159,-4.06814965669428,0.820486168204338,-4.56820578084483,4.91916961568782e-06,0.00377913521078088
"TRINITY_DN57911_c0_g2",20.1817896934375,7.9152063964561,1.66758518111407,4.5546137507542,5.24819198313121e-06,0.0039774203080806
"TRINITY_DN71286_c0_g1",6.41978560997565,6.25739134648694,1.30457218149183,4.55121719650444,5.33364532310142e-06,0.00398828662680232
"TRINITY_DN1550_c0_g2",129.333165145944,-4.8294380182824,0.994232468754813,-4.53559721694672,5.7440711378976e-06,0.00423867102046807
"TRINITY_DN23826_c0_g2",6.03378530069913,-5.94589546490993,1.2435201387763,-4.52416916258885,6.06332155697634e-06,0.0044161454488097
"TRINITY_DN85529_c0_g1",17.1985203768724,-7.46731147602698,1.58540932438836,-4.50818054749639,6.53859249641922e-06,0.00470124800492542
"TRINITY_DN1661_c1_g1",13.9545469542521,-7.16554365413983,1.53265638070936,-4.46645689164292,7.95256776515207e-06,0.00564551778993998
"TRINITY_DN14307_c1_g3",6.38902702615611,-6.03045816570995,1.28010347247548,-4.46093482948453,8.16029051391476e-06,0.00564994336544898
"TRINITY_DN6266_c0_g1",61.4574820177094,-5.43104397415181,1.14551792565179,-4.46177563851187,8.12833055685506e-06,0.00564994336544898
"TRINITY_DN16_c2_g2",21.7187405711077,-7.79912979872554,1.68786139154669,-4.431127956468,9.37414396233057e-06,0.00641122855726126
"TRINITY_DN27235_c0_g1",17.8333467768823,-5.78755597370654,1.2361526616521,-4.42304267370928,9.73205094847908e-06,0.00657581784689884
"TRINITY_DN96468_c0_g1",11.7952187079345,7.14018258430105,1.54444443067749,4.41594559754365,1.00569377380266e-05,0.00671444264552388
"TRINITY_DN40906_c1_g1",16.317403711425,7.60765051917881,1.65662889228872,4.3990845222496,1.08708484664472e-05,0.00717245792582694
"TRINITY_DN248_c1_g2",47.5381447398061,-4.70530273633598,1.00132169163856,-4.37951436881377,1.18944079080877e-05,0.0077565370267602
"TRINITY_DN44015_c0_g2",5.22236324808582,5.96822135973992,1.29455986758836,4.36304376580281,1.28265270958737e-05,0.00826824474242283
"TRINITY_DN1039_c0_g1",81.5920609454155,-4.9486139207129,1.06247542263932,-4.35644328526194,1.3219292518454e-05,0.00842459503431744
"TRINITY_DN20805_c1_g1",6.19686830420253,-5.98691685438,1.30762686384113,-4.3337415367359,1.46596275570694e-05,0.00903451904017105
"TRINITY_DN2666_c0_g1",38.6793860542535,-4.71926567875205,1.01409577678546,-4.33811655610783,1.43708940905337e-05,0.00903451904017105
"TRINITY_DN6857_c0_g2",155.153555455666,7.1818771105972,1.58294237871807,4.33488748728441,1.45834693003893e-05,0.00903451904017105
"TRINITY_DN502_c0_g1",71.0916386921316,-4.75698523100025,1.02989417460595,-4.30819528880032,1.64592030711569e-05,0.0100333155069198
"TRINITY_DN3477_c0_g2",13.759013976027,7.36170898675597,1.63922221849301,4.29576228733016,1.74094059904846e-05,0.0104984334060038
"TRINITY_DN13715_c0_g1",10.2261909948615,-6.70668132642407,1.49062740609361,-4.28455917308084,1.83101872730021e-05,0.0109156321405052
"TRINITY_DN36278_c0_g4",5.4681969829597,6.02905100208302,1.33314920038312,4.28237964696101,1.84905148416247e-05,0.0109156321405052
"TRINITY_DN102501_c0_g1",45.9556010463395,-3.98153659442819,0.855724196824733,-4.27887467482485,1.87840584469117e-05,0.0109312021369415
"TRINITY_DN15614_c0_g1",22.4239996952952,-7.84542588280553,1.76024903155652,-4.27520523965356,1.90961296120784e-05,0.0109312021369415
"TRINITY_DN6257_c0_g1",25.6767446801025,-5.50005573981935,1.21166897063113,-4.27514103717715,1.91016334906079e-05,0.0109312021369415
"TRINITY_DN25171_c0_g2",14.1987846940674,7.40838656001425,1.66542061472176,4.25621401425878,2.07917693064378e-05,0.0117782222852894
"TRINITY_DN12982_c0_g1",19.3294639445508,-7.63181142727012,1.72506588952624,-4.23856936228574,2.24948684562186e-05,0.0123682079682515
"TRINITY_DN15012_c0_g1",37.9028171181067,-5.19523119086778,1.14956532236203,-4.24093446108011,2.22591130578198e-05,0.0123682079682515
"TRINITY_DN64461_c2_g2",17.144474663764,7.67846152104241,1.73549357539779,4.23998200013837,2.23537710833353e-05,0.0123682079682515
"TRINITY_DN14701_c0_g1",10.2487442419349,-6.71455386268027,1.51525824060918,-4.22010828999648,2.44184995211697e-05,0.0132720838631956
"TRINITY_DN34591_c0_g1",7.83250711451626,6.54843898250516,1.47651859460075,4.21832749366039,2.46121165752352e-05,0.0132720838631956
"TRINITY_DN5797_c0_g1",156.270551459514,-4.54919013598152,1.00476108500769,-4.20915001495023,2.56333162620141e-05,0.0136911204057741
"TRINITY_DN18438_c0_g2",6.55138981631691,-6.05777433826029,1.3710381194356,-4.1849852727817,2.85184590035248e-05,0.0150884171493932
"TRINITY_DN48742_c0_g1",4.96225331342953,-5.66540551265328,1.2812870861004,-4.17190305798059,3.02066155490724e-05,0.015832218815169
"TRINITY_DN16431_c0_g1",7.80160771736269,6.54265417554733,1.49304122268696,4.16777117804469,3.07592476828173e-05,0.0159725937828496
"TRINITY_DN142380_c0_g1",8.97453108318377,-5.32236610005821,1.20313033514615,-4.15779234711969,3.21337910976376e-05,0.0165332777278689
"TRINITY_DN3754_c0_g1",19.6321320934824,-5.8216412776049,1.32709831515364,-4.14561695601879,3.38899961254687e-05,0.0172783523882594
"TRINITY_DN13550_c0_g1",18.0493086110683,-5.00143588676284,1.1317796004348,-4.13634941375897,3.52874739523162e-05,0.0176695724481589
"TRINITY_DN49748_c0_g1",8.16380797771072,-6.37915908626974,1.46485485541938,-4.13635457728338,3.52866803085847e-05,0.0176695724481589
"TRINITY_DN15926_c0_g1",24.9955882555664,-5.28541536379944,1.20480710949938,-4.12133637380565,3.76680963341812e-05,0.0185307208650312
"TRINITY_DN6322_c0_g1",46.4816755330712,-2.45758034651444,0.518467933803101,-4.1228785950844,3.74166927634456e-05,0.0185307208650312
"TRINITY_DN9243_c0_g1",22.3328156397172,-4.98489890671749,1.13355574256315,-4.11527967400121,3.86710235066272e-05,0.0188586812199884
"TRINITY_DN19470_c3_g1",12.9855352022347,-7.06053113946623,1.63983803121086,-4.11048592066681,3.94827355688393e-05,0.0190885411738935
"TRINITY_DN8788_c1_g3",10.6356319697137,6.99216443332539,1.62429136988548,4.10773864654334,3.99551853761535e-05,0.0191518521903029
"TRINITY_DN8118_c0_g1",9.05596009937105,-6.52917126951567,1.51335566510674,-4.10291606439899,4.07975287342079e-05,0.0193898898853546
"TRINITY_DN3964_c0_g1",18.2155108009099,-5.71337784096862,1.31788177525344,-4.09245953790614,4.26821738504903e-05,0.0201151401166655
"TRINITY_DN23486_c0_g1",10.8977734878764,7.0254714778301,1.63955809941652,4.08980412479217,4.31737634589638e-05,0.0201772583525467
"TRINITY_DN5971_c0_g1",131.239789345222,-4.88212129267378,1.1260133432537,-4.05156947740176,5.08752139985499e-05,0.0233867520612023
"TRINITY_DN9833_c0_g1",9.99036498924301,-6.67591335391852,1.56861739606577,-4.05192073596768,5.07988762611717e-05,0.0233867520612023
"TRINITY_DN23300_c1_g1",4.7593412578077,5.83047880858757,1.36149274045325,4.04738023557371,5.17940677106066e-05,0.0236155683361483
"TRINITY_DN30492_c0_g1",14.1111989948629,-7.17900841714216,1.69720807540158,-4.04134797409517,5.31448294463e-05,0.0240360348790919
"TRINITY_DN20_c0_g1",353.414518199716,-4.48290304698259,1.03085256513278,-4.03831079999922,5.38374912517349e-05,0.0241545134750384
"TRINITY_DN11313_c0_g1",19.3424059426345,-4.81096770338178,1.11519895702014,-4.02705515021447,5.64797884990043e-05,0.025138884909533
"TRINITY_DN10555_c0_g1",27.8314882692052,-5.29544459599792,1.2373809699848,-4.020948048085,5.79643886514275e-05,0.0253812443918167
"TRINITY_DN87985_c0_g1",4.15528837156112,5.63304597378051,1.32093938407316,4.02217243110548,5.76638177012806e-05,0.0253812443918167
"TRINITY_DN8962_c0_g2",9.6514013686899,-6.02850002522229,1.42028747422254,-4.01925675528971,5.83820214426082e-05,0.0253812443918167
"TRINITY_DN1716_c0_g1",161.825878965907,-4.77736075685574,1.11152792680701,-4.01012034817697,6.06878074879323e-05,0.0260929661248487
"TRINITY_DN189_c3_g1",10.2241394973202,6.93656522403005,1.65038516419007,4.009103673249,6.09496551898146e-05,0.0260929661248487
"TRINITY_DN13144_c0_g1",14.5377425669069,-7.21969743984469,1.72346775181182,-4.00338064497656,6.24437109815979e-05,0.0263305879644359
"TRINITY_DN7074_c0_g1",23.2883223384205,-4.1654600985051,0.96012927939835,-4.0051482451559,6.19785995171995e-05,0.0263305879644359
"TRINITY_DN30_c0_g2",1771.02594059805,-5.0977130017307,1.19486751514249,-3.99852949484608,6.3737239440303e-05,0.0266754616588886
"TRINITY_DN8404_c0_g1",14.5913852109229,-5.43503065947954,1.28377586590233,-3.98436424561098,6.76610231829477e-05,0.0281078926084894
"TRINITY_DN11779_c0_g1",4.42288016244118,-5.49920491699859,1.30671987973404,-3.963515821044,7.38539666529608e-05,0.0302326872834405
"TRINITY_DN4333_c0_g1",14.4412068674263,-5.45396704001653,1.29528500277679,-3.9635810103649,7.38337925132325e-05,0.0302326872834405
"TRINITY_DN19542_c0_g1",9.81610183195735,-5.45905706582699,1.29982812784804,-3.9536435284987,7.69700568696627e-05,0.0312799618069886
"TRINITY_DN10443_c0_g2",13.516700744691,-7.11334617901997,1.72466479425505,-3.93893712079527,8.18433742062933e-05,0.0328816733504274
"TRINITY_DN138819_c0_g1",22.8865920701139,-4.82028039470432,1.1427157316206,-3.93823264192052,8.20839889636574e-05,0.0328816733504274
"TRINITY_DN4133_c0_g2",7.02756129087885,-6.17197656988464,1.4874496982226,-3.93423493707207,8.34621165599984e-05,0.0331966129143109
"TRINITY_DN11392_c0_g1",9.98589209165118,-5.47908526407433,1.31291390432817,-3.92949244201529,8.5125352091673e-05,0.0336197182817268
"TRINITY_DN30_c3_g1",4904.35057548673,-5.9925306945411,1.44662212274625,-3.92122490410448,8.80999871336534e-05,0.034551213135871
"TRINITY_DN52793_c0_g1",9.87276967476912,-5.47669543535234,1.31659325866064,-3.91669591305535,8.9770866482241e-05,0.0349620120420628
"TRINITY_DN111200_c0_g1",13.3319867754431,-7.09465464000726,1.73303521466997,-3.90912693675263,9.26302841882809e-05,0.0358268386058425
"TRINITY_DN18687_c0_g1",9.90657470170046,-5.47524682786132,1.32264958624734,-3.89766638228642,9.71240910166977e-05,0.037307625153414
"TRINITY_DN13556_c0_g1",77.7239991565713,-4.84907882742099,1.16734484649961,-3.87981224314466,0.000104537127481963,0.0393466522378756
"TRINITY_DN157813_c0_g1",5.1596648931845,-5.7190754195619,1.39061862725263,-3.88249899271705,0.000103388444771638,0.0393466522378756
"TRINITY_DN19810_c0_g1",5.29174067408721,-5.7736732485614,1.40540472202798,-3.88050015990541,0.000104241876443381,0.0393466522378756
"TRINITY_DN2829_c0_g1",174.214478755482,1.99858820001068,0.433530898985391,3.87189979754417,0.000107990348665203,0.0403754315589463
"TRINITY_DN30861_c0_g1",7.27580537013347,-6.21642940342354,1.52634383818252,-3.8631068936896,0.000111953988849395,0.0415801563089521
"TRINITY_DN15454_c0_g1",18.5715914884212,-5.72851627917818,1.40220026260038,-3.85716393259553,0.000114710233690712,0.0423235481963325
"TRINITY_DN11824_c0_g1",12.606962091152,-7.01236775727211,1.73662092364773,-3.85367218956164,0.000116359363573174,0.0426514106399394
"TRINITY_DN46370_c0_g1",9.6035830411582,-5.42434379950216,1.3258586948965,-3.84983997099374,0.000118195023110483,0.0429784873596273
