,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRINITY_DN23472_c0_g4,136.837478020552,10.659745868381,1.09105847714931,9.47680265075836,2.62193838674436e-21,1.44127953119337e-16
TRINITY_DN7216_c0_g3,1239.0684534753,28.3460011082527,3.02621901076063,9.26106174358095,2.0240932464205e-20,5.56322028778674e-16
TRINITY_DN91484_c0_g1,349.940086503958,26.5663163420102,3.02629473511146,8.6727561719277,4.217844943321e-18,7.7284978844785e-14
TRINITY_DN14928_c0_g1,268.088232175809,25.9271379676687,3.02632694896432,8.46145786608817,2.64055470669792e-17,2.90302584454369e-13
TRINITY_DN4143_c0_g1,64.8174557563212,24.3033673744585,3.02675874233908,7.92377900457443,2.30398956314801e-15,1.8092900898035197e-11
TRINITY_DN74451_c0_g1,62.0133925190844,24.2472730521112,3.02678454352684,7.90517881534804,2.6754925703469e-15,1.8383978323996097e-11
TRINITY_DN104146_c0_g1,123.376478131526,24.1996920295766,3.02648851178275,7.89023052181035,3.0162885581629802e-15,1.84228202269132e-11
TRINITY_DN12591_c0_g3,42.2224080467416,23.7044509646511,3.027064067849,7.72512587791639,1.1174286401277801e-14,5.5840956679840094e-11
TRINITY_DN94453_c0_g1,39.5479116591478,23.6298751544447,3.02712281991127,7.70034007246788,1.35704585268758e-14,6.21640087685302e-11
TRINITY_DN25380_c0_g1,38.4368708852288,23.5945869439018,3.02714984073987,7.68861409853872,1.4873734099366902e-14,6.28930125724769e-11
TRINITY_DN13602_c0_g1,41.1478099017793,23.4544469642135,3.02708626617368,7.64248023676447,2.13076717629604e-14,8.366305120070949e-11
TRINITY_DN632_c0_g3,56.0046880133574,23.2421038475179,3.02684865964927,7.57292696958754,3.64907467635704e-14,1.33726423306231e-10
TRINITY_DN10079_c0_g1,25.4161355306826,23.0362234766119,3.02764138075543,7.50294391568396,6.24002558348881e-14,2.14383878952737e-10
TRINITY_DN48626_c0_g1,42.7348261957343,8.98251463928082,1.49367041945956,5.79948195159083,6.652009710834711e-09,1.40638836078686e-05
TRINITY_DN13818_c0_g1,12.266067099919,7.18270010309517,1.23475755445225,5.5579332787638,2.72987691749328e-08,5.35933336266449e-05
TRINITY_DN44862_c1_g1,12.1258803675775,7.15759364997534,1.24760258856677,5.48058629617806,4.2391868364635e-08,7.99752661038132e-05
TRINITY_DN54788_c0_g1,9.30908572274757,6.7754419902014,1.1997735400624,5.38055039108933,7.42584483856949e-08,0.0001236965729624
TRINITY_DN14422_c0_g4,38.048932849672,4.24448176588867,0.745644620335727,5.26320670579192,1.41564262972124e-07,0.0002288761039875
TRINITY_DN23472_c0_g3,196.666074775324,5.07547253245851,0.9170088635903,5.18585230882038,2.15029170571416e-07,0.0003283375973975
TRINITY_DN12539_c2_g1,8.04284685361692,6.57440810250519,1.23804370323013,5.05184759325302,4.37556782455488e-07,0.0006329604297783
TRINITY_DN162400_c0_g1,114.172168589558,10.3992334401106,2.0726824920082,4.8628931247183,1.15682316187503e-06,0.0014788504467039
TRINITY_DN1772_c2_g2,7.28269359517394,6.42626640915198,1.25951334826209,4.84811567704111,1.24639718250161e-06,0.0015571466618662
TRINITY_DN2700_c1_g1,7.910137055357,6.54610527744518,1.30989703105632,4.75312572654993,2.00295706678458e-06,0.0024467233324699
TRINITY_DN29436_c3_g1,8.22006781574563,6.60246573398411,1.32594584492038,4.73810130183812,2.15729969478453e-06,0.0025231226430277
TRINITY_DN3459_c0_g1,650.268492200439,1.98327510814404,0.350814795329899,4.74117719744382,2.12479990337493e-06,0.0025231226430277
TRINITY_DN30855_c4_g1,120.540004950179,10.4778108697506,2.18431994817796,4.65033104615635,3.31402640994352e-06,0.003795250661554
TRINITY_DN118764_c0_g1,6.67849776944214,6.28933893206527,1.38031047992428,4.32463494183768,1.52784658315037e-05,0.0158463635237313
TRINITY_DN35444_c1_g1,13.3590538539471,7.30457169522948,1.63209307177216,4.27951801035801,1.87298481988995e-05,0.0187196319180637
TRINITY_DN160972_c0_g1,6.28825009123381,6.208539231407,1.39590902528869,4.21842621884989,2.4601344551169e-05,0.0229209476267417
TRINITY_DN2558_c1_g1,15044.6273957805,1.96448355914322,0.395104049977604,4.16215313215959,3.15260812013879e-05,0.0284096505514802
TRINITY_DN5510_c0_g2,444.201462393094,4.91056876807968,1.10531094755767,4.15319216571874,3.27869179299323e-05,0.0290693044936835
TRINITY_DN83231_c0_g2,5.77461116776361,6.09493930684602,1.39244205772189,4.14734622156855,3.36351236763384e-05,0.0293479801347353
TRINITY_DN10398_c0_g1,32.9015227450464,3.14929684602836,0.684033513078839,4.13619624175091,3.53110244985519e-05,0.0302639560734173
TRINITY_DN141031_c0_g1,13.0180519719733,7.27016026697037,1.68157414202684,4.13312746269585,3.57860131848667e-05,0.0302639560734173
TRINITY_DN58786_c0_g1,11.5971880667385,7.09320801034659,1.68850942208728,4.01135339948165,6.03716606260461e-05,0.0480960896320834
TRINITY_DN39044_c2_g1,12.187495225823,7.17015405937236,1.71235374696923,4.0004316114569,6.32270580191192e-05,0.0484993689685883
TRINITY_DN9620_c3_g1,254.09613241728,1.53236545868273,0.303390651828823,3.9960541017815,6.44070208242122e-05,0.0484993689685883
