,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRINITY_DN80559_c0_g1,1134.99242983988,28.248276223785,3.02622321830268,9.22875617861697,2.7379265133625e-20,1.0070641301449902e-15
TRINITY_DN400_c0_g1,380.06302415163,12.1982692214654,1.397403383356,8.50024363969881,1.8919318436346202e-17,1.73972592681422e-13
TRINITY_DN63652_c0_g1,252.836033627733,26.1872330814638,3.02634187966662,8.54735985225614,1.2593606960095701e-17,1.73972592681422e-13
TRINITY_DN24209_c0_g1,137.42227217072,25.3549370305801,3.02647007253192,8.27199226511304,1.3173885240027002e-16,5.38402052109639e-13
TRINITY_DN54638_c3_g1,122.180508012092,25.091385270807,3.02650510912287,8.18481528286141,2.72721639646353e-16,1.00312473494722e-12
TRINITY_DN4443_c0_g1,86.0137507823715,24.717619462166,3.02663790420547,8.06096409096903,7.56950647416916e-16,2.53110533757173e-12
TRINITY_DN44244_c0_g1,62.9481004420294,24.2951559795515,3.02680234337649,7.92095196834243,2.35698983561445e-15,7.136885005689389e-12
TRINITY_DN14701_c0_g2,48.7828546644404,23.9469696445359,3.02698049971511,7.80545816094938,5.92857701417769e-15,1.4537661315698899e-11
TRINITY_DN16617_c1_g1,44.7569422660169,23.8291568605342,3.02705176671406,7.76635441753743,8.077732540145841e-15,1.82759101577471e-11
TRINITY_DN111200_c0_g1,46.7294706608267,23.7884341407419,3.02701523590149,7.7529950501728,8.975011810644271e-15,1.83399380232843e-11
TRINITY_DN12824_c1_g1,32.0230681717771,23.3751140568398,3.02739404331216,7.61549825592443,2.6267618890296702e-14,4.830877790114459e-11
TRINITY_DN1939_c0_g1,160.567575888035,6.2409059917545,0.883333974514298,6.70290757808802,2.0431269899056297e-11,3.26740421490039e-08
TRINITY_DN14701_c0_g1,165.668457205242,11.0001593062694,1.62874243959193,6.55730399518858,5.47892522244125e-11,8.39690948049309e-08
TRINITY_DN6268_c2_g1,18.2847817090366,7.82054214436332,1.25151636627365,5.99316345074729,2.05797816783804e-09,2.91140588343919e-06
TRINITY_DN77477_c0_g1,86.3522967007888,10.0599815724182,1.83201904654464,5.31652855399549,1.05765631669093e-07,0.0001341472918638
TRINITY_DN7800_c0_g1,86.43553247754,7.84420866222544,1.41408121361134,5.3209169245731,1.03245544971765e-07,0.0001341472918638
TRINITY_DN11535_c0_g1,52.2329056715646,8.17329509329273,1.55679433782805,5.0445295839457,4.54638490119501e-07,0.0005394359014056
TRINITY_DN10189_c0_g1,487.874804757598,6.37866310192787,1.21598184846279,4.98252758426209,6.27590406615811e-07,0.0006995160707922
TRINITY_DN16506_c0_g2,40.7377156769505,8.97734605170844,1.73576982574902,4.98761179234846,6.11302477681724e-07,0.0006995160707922
TRINITY_DN6729_c0_g1,238.514638725756,5.20145963553608,0.98682870523347,4.94661293256685,7.55159241340978e-07,0.0008169490357354
