"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN56923_c2_g1",27.4441440479495,23.2054681840515,2.61865283955847,8.73940517747675,2.34340980327514e-18,8.7819282377736e-14
"TRINITY_DN25380_c0_g1",31.675016282669,-22.3109693061227,2.61799526465549,-8.3999270751227,4.46755996674679e-17,8.37109048769179e-13
"TRINITY_DN2888_c0_g2",27.6274148905094,-22.1197456019771,2.61807954406461,-8.32661698587378,8.3185334607748e-17,1.03912347147512e-12
"TRINITY_DN1404_c0_g2",30.2130689680569,-22.2436837507941,2.66642038116256,-8.2221407793303,1.99902336018984e-16,1.87283501057786e-12
"TRINITY_DN14928_c0_g1",221.304662272374,-25.0188431036739,3.02632418239876,-8.16133421770327,3.31343935065074e-16,2.48342279331273e-12
"TRINITY_DN10910_c0_g2",105.328153930408,-10.010819970945,1.22933282702241,-7.88299129245358,3.1963535100881e-15,1.99638912984252e-11
"TRINITY_DN7609_c0_g1",55.852542753678,23.9768696373657,3.02688393235701,7.81558532340035,5.47082038405763e-15,2.92884276989371e-11
"TRINITY_DN91484_c0_g1",288.642801527954,-23.9017943662266,3.02629213726289,-7.79230599579691,6.57971509818859e-15,3.08218529130772e-11
"TRINITY_DN10986_c3_g1",33.8897895727829,23.5074413987663,3.02733402077332,7.65936009692223,1.8686178132208e-14,7.00264525504493e-11
"TRINITY_DN86004_c0_g1",75.6978788213058,-23.5201843648166,3.02658868019651,-7.66545666301449,1.78196028341341e-14,7.00264525504493e-11
"TRINITY_DN136924_c0_g1",63.3877784999137,-23.277829992785,3.02666664442147,-7.58518617671331,3.3200998113526e-14,1.13109764027671e-10
"TRINITY_DN74451_c0_g1",51.2381499515759,-22.9781432138312,3.0267804421019,-7.48588926327824,7.10642970146686e-14,2.21927877552059e-10
"TRINITY_DN632_c0_g3",46.1176059658147,-22.8340958408236,3.02684652966644,-7.43813590155977,1.02115979237623e-13,2.94368947840764e-10
"TRINITY_DN16410_c0_g2",40.8890972396708,-22.6666047046907,3.0269309187235,-7.38259488066366,1.55233830472548e-13,4.15527699782768e-10
"TRINITY_DN12591_c0_g3",34.8531510295611,-22.4408985624141,3.02706004300385,-7.30771714077493,2.71719015993554e-13,6.78844674957229e-10
"TRINITY_DN13602_c0_g1",33.9374485773502,-22.4067434160282,3.02708304929263,-7.296378413268,2.95616740153837e-13,6.92389833579065e-10
"TRINITY_DN94453_c0_g1",32.5856379934212,-22.3469539613458,3.02712041187038,-7.27653709279967,3.42497973251928e-13,7.55006561624471e-10
"TRINITY_DN3396_c1_g1",54.8264989938962,-7.41347993626614,1.09668902145326,-6.4680869394191,9.92513930708617e-11,2.06635886407252e-07
"TRINITY_DN57181_c0_g1",14.7010369197486,7.54001097396661,1.1478917674114,6.28980116326504,3.17872857519014e-10,6.26962386080266e-07
"TRINITY_DN5436_c0_g2",154.207881234278,10.9338426705446,1.76043538497236,6.0291009605622,1.6487427105834e-09,3.08933165395564e-06
"TRINITY_DN64822_c0_g1",16.341751818781,7.68876289951607,1.28320034178932,5.742488261218,9.32953484055515e-09,1.66487770547526e-05
"TRINITY_DN33001_c1_g1",81.4196952752407,-9.64035706059793,1.66953808854196,-5.58259624297495,2.36954405377289e-08,3.86081145283214e-05
"TRINITY_DN37611_c0_g3",9.33296233397601,6.88355215267434,1.17481713897824,5.58687129673882,2.31196934318674e-08,3.86081145283214e-05
"TRINITY_DN79226_c0_g2",10.0050514185505,6.9879521021611,1.22654040049773,5.43639010949434,5.43708456490753e-08,8.48978100291291e-05
"TRINITY_DN45767_c0_g1",19.422518364652,-7.56733398837512,1.33503525331209,-5.42857124588674,5.68069687926528e-08,8.51536462201866e-05
"TRINITY_DN3174_c0_g1",64.1286018027114,9.66890218537926,1.73040967712535,5.40271029974251,6.56414284934354e-08,9.46120204919804e-05
"TRINITY_DN37308_c1_g1",9.27241368239203,-6.5078185168453,1.1796543526424,-5.24545050250079,1.55900911805478e-07,0.000216384691478159
"TRINITY_DN28554_c0_g1",19.8764093097739,-7.60066317360681,1.41750334604282,-5.13625819221657,2.80262553470252e-07,0.000375101399689203
