Spider	LS LD	LS LD FAP	LS DD	LS DD FAP
MsB1	30.921449725003527	3.9978382575988814e-48	25.061384585212785	1.4844813454645118e-200
MsB2	17.50121722472762	1.345269776455357e-32	23.931457465237138	8.265785599307511e-203
MsB3	27.98519463943842	0.24065166618495354	25.83271845150857	8.653341457766888e-257
MsB4	23.495927989712815	1.2975280975655762e-06	48.0	1.0
MsB5	38.17270194986073	5.536353602025909e-06	12.0	1.0908385168615489e-69
MsB6	38.09312022237665	1.94128637618516e-12	24.541578644132898	9.053342815691275e-57
MsB7	40.07749954304515	8.283011097165927e-10	23.290290244680367	1.6765622799718918e-104
MsB8	37.525928461406814	0.00014628104643391206	25.21716822890972	1.4370285123838943e-80
MsB9	26.52280149993952	2.8040307157585694e-63	24.12459882952615	1.2365988940900294e-264
MsB10	23.74786093360771	1.136596371790881e-74	23.476415744270426	5.813464747744895e-126
MsB11	39.782999183525355	1.2256037435743985e-16	24.719605377696098	0.0
MsB12	14.022575384516996	7.470014688496356e-09	24.18280739934712	8.509441980523155e-76
MsB13	33.842259607964195	3.924023230579287e-37	23.45379462237313	1.8887974539873354e-113
MsB14	12.0	9.84689710195835e-23	24.296606141268178	1.224854764583305e-106
MsB15	31.298836628363432	8.051506017217691e-71	24.355648734931147	4.6182456024660104e-244
MsB16	25.336722902703954	1.3960075327897051e-47	12.0	4.2854440360212566e-111
MsB17	22.56034571457969	1.7506461556476257e-45	24.813203883495145	1.2299984015941536e-265
MsB18	30.11247682483005	3.468147580085087e-17	24.05987291127324	1.0504935079299159e-139
MsB19	25.32794270532517	1.2164453664969714e-24	20.984112648302478	5.405620902885446e-46
MsB20	30.97386636530583	1.009210401556507e-26	24.662356460484414	6.137058191955927e-90
MsB21	23.208679544853137	7.728279876624399e-20	23.57385970576027	3.678688749213196e-44
MsB22	12.0	4.3595134891914435e-14	12.543299550931266	6.977995957020057e-122
MsB23	24.820466379895855	5.1245442889894223e-64	22.868289191123836	5.028851829617856e-180
MsB24	48.0	1.5651412652506033e-28	24.63739335807587	3.583098780783409e-144
MsB25	20.354994430003714	8.262683307463235e-27	23.135330859056758	3.844818124511144e-216
MsB26	39.217313539617244	2.3583617961082153e-53	24.457033492822966	0.0
MsB27	12.0	7.5068825752463e-23	24.087083549314357	3.1196893331312936e-43
MsB28	17.747703266016433	1.7748604694512883e-07	23.807731718677225	3.1967345521032743e-246
MsB29	48.0	1.0165064977342421e-12	24.791541371617036	4.512420421083734e-202
MsB30	39.82635546271909	2.478663940457032e-09	24.07687235044748	1.782522124770923e-113
MsB31	23.22342848064396	1.0	23.85439611722979	1.168512733230739e-146
MsB32	40.143537165873305	0.2013172739984213	12.173184091450345	7.800019119216108e-127
