Index,Day,Time,Light,Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,Sp7,Sp8,Sp12,Sp13,Sp14,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23
1,1,2024-04-10 09:38:00,1,9.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0
2,1,2024-04-10 09:39:00,1,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,6.0,4.0,9.0,0.0,0.0,3.0,1.0,0.0
3,1,2024-04-10 09:40:00,1,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0,0.0,8.0,4.0,0.0,4.0,0.0,4.0,4.0,2.0
4,1,2024-04-10 09:41:00,1,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,4.0,0.0,13.0,3.0,3.0,3.0,0.0,2.0,2.0,7.0
5,1,2024-04-10 09:42:00,1,2.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,2.0,0.0,7.0,3.0,4.0,4.0,0.0,3.0,2.0,3.0
6,1,2024-04-10 09:43:00,1,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,4.0,0.0
7,1,2024-04-10 09:44:00,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
8,1,2024-04-10 09:45:00,1,4.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0
9,1,2024-04-10 09:46:00,1,1.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0
10,1,2024-04-10 09:47:00,1,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
11,1,2024-04-10 09:48:00,1,0.0,0.0,3.0,4.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
12,1,2024-04-10 09:49:00,1,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
13,1,2024-04-10 09:50:00,1,0.0,0.0,2.0,4.0,8.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
14,1,2024-04-10 09:51:00,1,0.0,0.0,4.0,3.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
