Index,Day,Time,Light,Sp4,Sp5,Sp9,Sp10,Sp11,Sp12,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp21,Sp25
19677,1,2024-05-01 07:39:00,1,2,4,1,0,1,1,6,1,4,1,1,1,2,0
19678,1,2024-05-01 07:40:00,1,0,0,0,0,0,0,3,0,8,0,4,0,0,0
19679,1,2024-05-01 07:41:00,1,0,0,0,5,0,3,5,0,1,0,0,0,0,0
19680,1,2024-05-01 07:42:00,1,0,7,0,0,0,3,3,0,10,0,1,0,0,0
19681,1,2024-05-01 07:43:00,1,0,4,0,0,0,3,5,0,3,0,2,0,0,0
19682,1,2024-05-01 07:44:00,1,0,4,0,0,0,0,2,3,5,0,1,0,4,0
19683,1,2024-05-01 07:45:00,1,0,6,0,2,0,5,0,12,0,0,4,0,3,0
19684,1,2024-05-01 07:46:00,1,0,5,0,0,0,2,0,0,0,0,3,0,5,0
19685,1,2024-05-01 07:47:00,1,0,4,0,0,0,4,0,0,0,0,4,0,6,4
19686,1,2024-05-01 07:48:00,1,0,5,0,0,0,2,0,4,0,0,1,0,4,4
19687,1,2024-05-01 07:49:00,1,0,7,0,1,0,4,2,2,0,0,4,0,5,2
19688,1,2024-05-01 07:50:00,1,0,6,0,1,0,1,3,3,0,0,3,0,4,0
19689,1,2024-05-01 07:51:00,1,0,6,0,0,0,4,5,0,0,0,2,0,6,0
19690,1,2024-05-01 07:52:00,1,0,2,0,0,0,4,3,0,0,0,0,0,6,0
19691,1,2024-05-01 07:53:00,1,0,5,0,0,0,3,2,0,0,0,2,0,2,0
19692,1,2024-05-01 07:54:00,1,0,1,0,0,0,1,2,4,0,0,0,0,3,0
19693,1,2024-05-01 07:55:00,1,0,0,0,0,0,2,7,4,0,0,0,0,0,0
19694,1,2024-05-01 07:56:00,1,0,11,0,0,0,4,0,6,0,0,0,0,4,0
19695,1,2024-05-01 07:57:00,1,0,3,0,0,0,0,0,5,0,0,0,0,3,0
