Index,Day,Time,Light,Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,Sp7,Sp11,Sp12,Sp14,Sp15,Sp17,Sp18,Sp19,Sp21,Sp22,Sp23
2,1,2024-03-13 19:09:00,1,0,1,0,0,3,0,0,2,4,0,0,0,1,0,2,4,3
3,1,2024-03-13 19:10:00,1,0,1,0,3,1,0,1,2,3,0,2,0,1,0,0,9,0
4,1,2024-03-13 19:11:00,1,0,1,0,2,3,0,1,0,5,0,4,0,1,4,0,1,0
5,1,2024-03-13 19:12:00,1,0,1,0,4,1,0,0,0,0,0,1,0,0,3,0,0,0
6,1,2024-03-13 19:13:00,1,3,0,0,1,1,0,4,2,1,0,2,0,1,8,1,2,1
7,1,2024-03-13 19:14:00,1,2,1,0,0,0,0,0,3,0,0,0,0,1,2,1,0,0
8,1,2024-03-13 19:15:00,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0
9,1,2024-03-13 19:16:00,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0
10,1,2024-03-13 19:17:00,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0
11,1,2024-03-13 19:18:00,1,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,3,0
12,1,2024-03-13 19:19:00,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2
13,1,2024-03-13 19:20:00,1,3,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0
14,1,2024-03-13 19:21:00,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0
15,1,2024-03-13 19:22:00,1,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0
16,1,2024-03-13 19:23:00,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,4,0
17,1,2024-03-13 19:24:00,1,0,0,0,0,5,3,0,0,0,0,0,1,0,0,0,4,0
18,1,2024-03-13 19:25:00,1,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0
19,1,2024-03-13 19:26:00,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
20,1,2024-03-13 19:27:00,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0
21,1,2024-03-13 19:28:00,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
22,1,2024-03-13 19:29:00,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
23,1,2024-03-13 19:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,2024-03-13 19:31:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,1,2024-03-13 19:32:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,2024-03-13 19:33:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,1,2024-03-13 19:34:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,1,2024-03-13 19:35:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,2024-03-13 19:36:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,2024-03-13 19:37:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,2024-03-13 19:38:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,2024-03-13 19:39:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,2024-03-13 19:40:00,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0
34,1,2024-03-13 19:41:00,1,0,0,1,0,0,2,0,6,0,0,0,0,0,0,0,0,0
35,1,2024-03-13 19:42:00,1,2,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0
36,1,2024-03-13 19:43:00,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
37,1,2024-03-13 19:44:00,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
38,1,2024-03-13 19:45:00,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,2024-03-13 19:46:00,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
40,1,2024-03-13 19:47:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,2024-03-13 19:48:00,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,1,2024-03-13 19:49:00,1,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0
43,1,2024-03-13 19:50:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,1,2024-03-13 19:51:00,1,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2
45,1,2024-03-13 19:52:00,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
46,1,2024-03-13 19:53:00,1,0,3,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0
47,1,2024-03-13 19:54:00,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
48,1,2024-03-13 19:55:00,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,1,2024-03-13 19:56:00,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
50,1,2024-03-13 19:57:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,2024-03-13 19:58:00,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
52,1,2024-03-13 19:59:00,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
53,1,2024-03-13 20:00:00,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
54,1,2024-03-13 20:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
55,1,2024-03-13 20:02:00,0,0,0,12,0,0,0,9,6,0,0,0,0,0,0,2,0,0
56,1,2024-03-13 20:03:00,0,0,0,1,15,0,0,7,6,0,0,0,0,0,0,0,0,0
57,1,2024-03-13 20:04:00,0,0,0,4,4,0,0,7,3,0,0,0,0,0,0,0,0,0
58,1,2024-03-13 20:05:00,0,0,0,6,1,0,1,0,3,0,0,0,0,0,0,4,0,0
59,1,2024-03-13 20:06:00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
60,1,2024-03-13 20:07:00,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,2024-03-13 20:08:00,0,0,0,9,23,0,0,3,2,0,0,0,0,0,0,0,0,1
62,1,2024-03-13 20:09:00,0,0,0,2,1,0,0,2,5,0,0,0,0,0,0,1,0,2
63,1,2024-03-13 20:10:00,0,0,6,0,17,0,7,1,0,0,0,0,0,0,0,2,0,0
64,1,2024-03-13 20:11:00,0,0,1,6,0,0,6,1,3,0,0,0,0,0,0,1,0,1
65,1,2024-03-13 20:12:00,0,0,7,2,0,0,11,7,0,0,0,0,0,0,0,3,0,0
66,1,2024-03-13 20:13:00,0,0,0,4,1,0,10,2,0,0,0,0,0,0,0,0,0,0
67,1,2024-03-13 20:14:00,0,0,0,5,9,0,6,0,0,0,0,0,0,0,0,0,0,0
68,1,2024-03-13 20:15:00,0,0,1,6,3,0,11,13,7,0,0,0,0,0,0,0,0,0
69,1,2024-03-13 20:16:00,0,0,2,9,6,0,4,23,0,0,0,0,0,0,0,0,0,1
70,1,2024-03-13 20:17:00,0,0,2,7,9,7,9,12,0,0,0,0,0,0,0,0,0,0
71,1,2024-03-13 20:18:00,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,1,2024-03-13 20:19:00,0,0,0,0,8,6,10,1,0,0,0,0,0,0,0,0,0,2
73,1,2024-03-13 20:20:00,0,0,0,3,12,3,3,0,0,0,0,0,0,0,0,0,0,0
74,1,2024-03-13 20:21:00,0,0,0,7,9,4,0,14,0,0,0,0,0,0,0,0,0,2
75,1,2024-03-13 20:22:00,0,0,0,10,12,2,4,5,0,0,0,0,0,0,0,0,0,1
76,1,2024-03-13 20:23:00,0,0,0,7,0,1,7,5,0,0,0,0,0,0,0,0,0,0
77,1,2024-03-13 20:24:00,0,0,0,7,11,4,0,9,0,0,0,0,0,0,0,0,0,0
78,1,2024-03-13 20:25:00,0,0,0,3,7,4,6,9,0,0,0,0,0,0,0,0,0,0
79,1,2024-03-13 20:26:00,0,0,0,1,6,3,9,2,0,0,0,0,0,0,2,0,5,0
80,1,2024-03-13 20:27:00,0,0,0,5,16,1,0,5,0,8,0,0,0,0,3,0,10,0
81,1,2024-03-13 20:28:00,0,0,0,7,10,6,15,4,0,0,14,0,0,0,0,0,8,0
82,1,2024-03-13 20:29:00,0,0,0,0,5,2,0,7,0,13,10,0,2,0,0,0,0,0
83,1,2024-03-13 20:30:00,0,0,0,6,10,3,3,2,0,2,9,0,0,0,0,0,21,0
84,1,2024-03-13 20:31:00,0,0,0,4,6,5,6,0,0,0,14,0,4,0,0,0,1,0
85,1,2024-03-13 20:32:00,0,0,0,4,7,3,1,0,0,0,13,0,1,0,2,0,1,0
86,1,2024-03-13 20:33:00,0,0,0,13,13,7,5,0,0,0,8,0,1,0,1,0,1,0
87,1,2024-03-13 20:34:00,0,0,0,5,15,3,0,0,0,0,11,0,0,0,1,0,2,0
88,1,2024-03-13 20:35:00,0,0,0,19,9,14,0,0,0,0,2,0,0,0,2,0,8,0
89,1,2024-03-13 20:36:00,0,0,0,7,7,8,0,0,0,0,6,0,4,0,0,0,1,1
90,1,2024-03-13 20:37:00,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,2024-03-13 20:38:00,0,0,0,0,1,5,0,0,0,0,4,0,1,0,9,1,0,1
92,1,2024-03-13 20:39:00,0,1,0,0,5,0,0,0,0,0,3,0,3,0,0,2,0,3
93,1,2024-03-13 20:40:00,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0
94,1,2024-03-13 20:41:00,0,0,0,0,10,0,0,0,0,2,8,0,2,1,4,1,0,1
95,1,2024-03-13 20:42:00,0,0,0,0,7,0,0,0,0,1,0,0,1,1,5,0,0,3
96,1,2024-03-13 20:43:00,0,0,0,0,14,0,0,0,0,4,1,0,1,2,0,0,0,0
97,1,2024-03-13 20:44:00,0,0,0,0,8,0,0,0,0,0,18,0,0,0,3,1,0,2
98,1,2024-03-13 20:45:00,0,0,0,9,7,0,0,0,0,10,2,0,2,0,0,1,0,0
99,1,2024-03-13 20:46:00,0,0,0,4,6,0,0,0,0,5,14,0,3,2,0,0,0,2
