Index,Day,Time,Light,Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,Sp7,Sp11,Sp12,Sp13,Sp14,Sp17,Sp18,Sp19,Sp21,Sp22,Sp23
10113,1,2024-04-24 16:15:00,1,0,4,0,0,8,0,3,0,3,0,6,3,1,0,0,0,0
10114,1,2024-04-24 16:16:00,1,0,2,0,0,8,2,5,0,4,0,2,5,6,0,3,0,0
10115,1,2024-04-24 16:17:00,1,3,0,0,0,5,2,0,5,9,0,3,0,1,0,3,0,0
10116,1,2024-04-24 16:18:00,1,3,0,0,0,4,5,0,9,6,0,9,2,4,0,7,0,0
10117,1,2024-04-24 16:19:00,1,1,0,0,1,5,0,0,5,2,0,6,2,4,3,4,0,0
10118,1,2024-04-24 16:20:00,1,0,0,0,4,5,1,0,7,0,0,4,3,2,0,2,0,0
10119,1,2024-04-24 16:21:00,1,0,0,2,4,3,4,0,3,0,0,4,2,5,0,1,0,0
10120,1,2024-04-24 16:22:00,1,0,0,3,7,1,3,0,1,0,0,4,0,3,0,3,4,0
10121,1,2024-04-24 16:23:00,1,0,0,3,1,6,2,0,4,0,0,5,0,2,0,2,4,0
10122,1,2024-04-24 16:24:00,1,0,0,0,0,2,0,0,2,0,0,3,0,1,0,8,5,0
10123,1,2024-04-24 16:25:00,1,0,0,0,0,3,0,0,2,0,0,4,0,3,0,0,5,0
10124,1,2024-04-24 16:26:00,1,0,0,0,0,3,1,0,2,0,0,1,0,3,0,0,5,0
10125,1,2024-04-24 16:27:00,1,0,0,0,0,4,0,0,0,0,0,16,0,5,0,0,7,0
10126,1,2024-04-24 16:28:00,1,0,0,0,0,0,2,0,0,0,0,7,0,1,0,0,9,0
10127,1,2024-04-24 16:29:00,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4,0
10128,1,2024-04-24 16:30:00,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,4,6,0
10129,1,2024-04-24 16:31:00,1,0,0,2,0,0,0,0,0,0,0,12,0,4,0,1,0,0
10130,1,2024-04-24 16:32:00,1,4,0,3,0,0,0,0,0,0,0,0,0,6,0,0,1,0
